Order ,Dance Company,Date,Latitude,Longitude,City,Venue ,Production 
1,Pina Bausch & Wupperyal ,3/21/19,48.8566101,2.3514992,Paris,Wuppertal Opera House ,Arien 
2,Pina Bausch & Wupperyal ,3/29/19,48.8566101,2.3514992,Paris,Wuppertal Opera House ,Palermo Palermo 
3,Pina Bausch & Wupperyal ,6/13/19,51.21567935,4.409899577,Stadsschouwburg,,1980
4,Pina Bausch & Wupperyal ,6/29/19,48.86914905,2.29201457,Chaillot,Theatre national de la Danse,"Bon Vyouage, Bob "
5,Pina Bausch & Wupperyal ,7/8/19,48.88623995,2.374885207,La Villette,Theatre de la Ville ,Since she 
