Order ,Dance Company,Date,Latitude,Longitude ,City,Venue ,Production 
1,Pina Bausch & Wupperyal ,9/14/17,40.7306458,-73.9866136,New York City,Brooklyn Academy of Music (BAM) ,Café Muller 
2,Pina Bausch & Wupperyal ,9/29/17,45.42315095,-75.69332478,NAC,National Arts Center (NAC) ,The Rite of Spring
3,Pina Bausch & Wupperyal ,10/24/17,48.8566101,2.3514992,Paris,Opera de Paris ,
4,Pina Bausch & Wupperyal ,10/31/17,48.8566101,2.3514992,Paris,Opera de Paris ,
5,Pina Bausch & Wupperyal ,11/2/17,48.8566101,2.3514992,Paris,Opera de Paris ,
