Order ,Dance Company,Date ,Latitude,Longitude,City,Venue,Production 
1,Pina Bausch & Wupperyal ,3/7/20,51.26734925,7.192880466,Opernhaus,Altes Schauspielhaus ,The Seven Deadly Sins 
2,Pina Bausch & Wupperyal ,11/21/20,51.26734925,7.192880466,Opernhaus,Altes Schauspielhaus ,The Piece with the Ship
