Order ,Dance Company ,Date,Latitude ,Longitude ,City,Venue 
1,Pina Bausch & Wupperyal ,1/29/16,48.6345313,2.4522217,Evry,"Theatre de I'Agora, scene nationale Evry "
2,Pina Bausch & Wupperyal ,5/15/16,48.8566101,2.3514992,Paris ,Theatre de la Ville 
3,Pina Bausch & Wupperyal ,5/26/16,48.8566101,2.3514992,Paris,Theatre du Chatelet 
4,Pina Bausch & Wupperyal ,6/9/16,43.8374249,4.3600687,Nimes,Les Arenes de Nimes 
5,Pina Bausch & Wupperyal ,9/3/16,48.8566101,2.3514992,Paris,Theatre du Chatelet 
