Order,Dance Company,Date,Latitude,Longitude ,City,Venue ,Production 
1,Pina Bausch & Wupperyal ,5/12/15,48.8566101,2.3514992,Paris,Theatre du Chatelet ,N/A
2,Pina Bausch & Wupperyal ,5/21/15,48.8566101,2.3514992,paris,Theatre de la Ville ,N/A
3,Pina Bausch & Wupperyal ,5/24/15,48.8566101,2.3514992,Paris,Theatre de la Ville ,N/A
4,Pina Bausch & Wupperyal ,5/28/15,48.8566101,2.3514992,Paris,Theatre de la Ville ,N/A
5,Pina Bausch & Wupperyal ,12/31/15,48.8566101,2.3514992,Paris,Opera de Paris ,N/A 
