Order ,Dance Company,Date,Latitude,Longitude,City,Venue 
1,Riverdance,1/1/16,33.6633386,-117.903317,Costa Mesa,California OCPAC
2,Riverdance,1/22/16,33.7288179,-116.3825711,Palm Desert,McCallum Theatre
3,Riverdance,1/31/16,36.1662859,-115.149225,Las Vegas,The Smith Center
4,Riverdance,2/9/16,40.6460635,-111.4979741,Park City,Kansas Hartman Arena 
5,Riverdance,2/21/16,37.8882168,-95.3170208,Allen,Texas Allen Event Center
6,Riverdance,2/26/16,29.4246002,-98.4951405,San Antonio,Texas Majestic Theatre
7,Riverdance,3/1/16,31.9973662,-102.0779482,Midland,Wagner Noel Performing Arts Center 
8,Riverdance,3/8/16,39.7391536,-104.9847034,Denver,Colorado Buell Auditorium 
9,Riverdance,3/18/16,41.5910641,-93.6037149,Des Moines,Indiana Des Moines PAC
10,Riverdance,3/29/16,52.6361398,-1.1330789,Leicester,De Montford Hall 
11,Riverdance,4/1/16,51.4816546,-3.1791934,Cardiff,Cardiff St. David's Hall 
12,Riverdance,4/5/16,53.3806626,-1.4702278,Sheffield,Sheffield City Hall 
13,Riverdance,4/8/16,53.4791301,-2.2441009,Manchester,O2 Apollo Manchester 
14,Riverdance,4/12/16,42.9632405,-85.6678639,Grand Rapids,Michigan Devos Performance Hall
15,Riverdance,4/13/16,53.9590555,-1.0815361,York,York Barbican 
15,Riverdance,4/15/16,55.856656,-4.2435817,Glasgow,SECC
16,Riverdance,4/19/16,53.7974185,-1.5437941,Leeds,Leeds Arena 
17,Riverdance,4/23/16,54.9770924,-1.6142059,Newcastle Upon Tyne,Metro Radio Arena 
18,Riverdance,1/1/16,51.5073219,-0.1276474,London,California OCPAC
19,Riverdance,1/22/16,52.2034823,0.1235817,Cambridge,McCallum Theatre
20,Riverdance,1/31/16,53.0162014,-2.1812607,Stoke-On-Trent,The Smith Center
21,Riverdance,2/9/16,50.8036831,-1.075614,Portsmouth,Kansas Hartman Arena 
22,Riverdance,2/21/16,50.3712659,-4.1425658,Plymouth,Texas Allen Event Center
23,Riverdance,2/26/16,51.3391827,12.3810549,Leipzig,Texas Majestic Theatre
24,Riverdance,3/1/16,51.4818111,7.2196635,Bochum,Wagner Noel Performing Arts Center 
25,Riverdance,3/8/16,53.550341,10.000654,Hamburg,Colorado Buell Auditorium 
26,Riverdance,3/18/16,52.3744779,9.7385532,Hannover,Indiana Des Moines PAC
27,Riverdance,3/29/16,51.3331205,6.5623343,Krefeld,De Montford Hall 
28,Riverdance,4/1/16,52.3076216,-8.570897276,Munster,Cardiff St. David's Hall 
29,Riverdance,4/5/16,50.1106444,8.6820917,Fankfurt,Sheffield City Hall 
30,Riverdance,4/8/16,49.489591,8.467236,Mannheim,O2 Apollo Manchester 
31,Riverdance,4/12/16,48.7784485,9.1800132,Stuttgart,Michigan Devos Performance Hall
32,Riverdance,4/13/16,48.3954965,10.00589,Neu-Ulm,York Barbican 
33,Riverdance,4/15/16,47.9960901,7.8494005,Freiburg,SECC
