Order ,Dance Company,Date,Latitude,Longitude,City,Venue 
1,Riverdance,1/11/17,26.640628,-81.8723084,Fort Myers,Barbara B. Mann Performing Arts Hall 
2,Riverdance,1/17/17,29.6519396,-82.3249961,Gainesville,Curtis M Phillips Center for Performing Arts 
3,Riverdance,1/20/17,27.9658533,-82.8001026,Clearwater,Ruth Eckerd Hall 
4,Riverdance,1/22/17,29.2108147,-81.0228331,Daytona Beach,The Peabody Daytona Beach 
5,Riverdance,1/24/17,27.3364347,-82.5306527,Sarasota,Van Wezel Performing Arts Center 
6,Riverdance,1/27/17,30.3321838,-81.655651,Jacksonville,times Union Center Moran Theater 
7,Riverdance,1/31/17,35.2270869,-80.8431268,Charlotte,Ovens Auditorium 
8,Riverdance,2/10/17,34.729847,-86.5859011,Huntsville,Von Braun Center Concert Hall 
9,Riverdance,2/16/17,34.2257282,-77.9447107,Wilmington,The Wilson Center at Cape Fear Community College
10,Riverdance,2/17/17,39.2908816,-76.610759,Baltimore,Modell Performing Arts Center at The Lyric 
11,Riverdance,2/28/17,43.0481221,-76.1474244,Syracuse,The Oncenter Crouse Hinds Theater 
12,Riverdance,3/3/17,41.3082138,-72.9250518,New Haven,Shubert Theatre 
13,Riverdance,3/7/17,43.1009031,-75.2326641,Utica,The Stanley
14,Riverdance,3/10/17,43.157285,-77.615214,Rochester,Rochester Auditorium Theatre 
15,Riverdance,3/17/17,40.4416941,-79.9900861,Pittsburgh,Benedum Center 
16,Riverdance,3/21/17,42.7969996,-77.5237428,Richmond,EKU Centrer for the Arts 
17,Riverdance,3/24/17,35.1490215,-90.0516285,Memphis,The Orpheum Theater Memphis 
18,Riverdance,3/28/17,39.7589478,-84.1916069,Dayton,Mead Theater 
19,Riverdance,3/29/17,41.6786754,-83.5127283,Toledo,Stranahan Theatre 
20,Riverdance,4/1/17,41.7571701,-88.3147539,Aurora,Paramount Theatre
21,Riverdance,4/4/17,40.6938609,-89.5891008,Peoria,Peoria Civic Center 
22,Riverdance,4/5/17,41.6833813,-86.2500066,South Bend,Morris Performing Arts Center
23,Riverdance,4/7/17,43.0171773,-83.7236024,Flint,The Whiting Auditorium 
24,Riverdance,4/10/17,38.2542376,-85.759407,Louisville,Whitney Hall 
25,Riverdance,4/14/17,34.7464809,-92.2895948,Little Rock,Robinson Performance Hall 
26,Riverdance,4/18/17,35.0456297,-85.3096801,Chattanooga,Tivoli Theatre
27,Riverdance,4/21/17,36.1622296,-86.7743531,Nashville,TN Performing Arts Center Andrew Jackson Hall 
28,Riverdance,4/25/17,38.029306,-78.4766781,Charlottesville,John Paul Jones Arena 
29,Riverdance,4/26/17,36.7953025,-76.05092512,Virginia Beach,Sandler Center for the Performing Arts 
30,Riverdance,4/28/17,40.2854881,-76.6506001,Hershey,Hershey Theatre 
31,Riverdance,5/2/17,35.9603948,-83.9210261,Knoxville,Tennessee Theatre
32,Riverdance,5/5/17,33.7490987,-84.3901849,Atlanta,Fabulous Fox Theatre
33,Riverdance,5/9/17,39.7683331,-86.1583502,Indianapolis,Clowes Memorial Hall 
34,Riverdance,5/12/17,39.9622601,-83.0007065,Columbus,Palace Theatre Columbus 
35,Riverdance,5/21/17,44.230687,-76.481323,Kingston,Rogers K-Rock Centre 
36,Riverdance,5/26/17,44.6486237,-63.5859487,Halifax,Scotiabank Centre
37,Riverdance,5/30/17,44.8011821,-68.7778138,Bangor,Cross Insurance Center 
38,Riverdance,5/31/17,43.6610277,-70.2548596,Portland,Merill Auditorium 
39,Riverdance,6/2/17,41.8239891,-71.4128343,Providence,Providence Performing Arts 
40,Riverdance,6/7/17,42.9956397,-71.4547891,Manchester,SNHU Arena 
41,Riverdance,6/8/17,42.2625932,-71.8022934,Worcester,Hanover Theatre 
42,Riverdance,6/13/17,38.3662114,-75.6008881,Salisbury,Wicomico Civic Center 
43,Riverdance,6/14/17,40.7970384,-74.4809492,Morristown,Mayo Performing Arts Center 
44,Riverdance,6/16/17,42.8142432,-73.9395687,Schenectady,Proctor's Theatre 
45,Riverdance,9/1/17,59.9132694,10.7391112,Oslo,Oslo Konserthus 
46,Riverdance,9/7/17,57.7072326,11.9670171,Goteborg,Lisebergshallen 
47,Riverdance,9/15/17,55.6867243,12.5700724,Copenhagen,Royal Arena 
48,Riverdance,9/18/17,59.3251172,18.0710935,Stockholm,Cirkus 
49,Riverdance,9/22/17,60.1674086,24.9425683,Helsinki,Hartwall Arena 
50,Riverdance,9/26/17,60.4517531,22.2670522,Turku,Logomo
51,Riverdance,10/6/17,51.19996685,2.872275582,Ostend,Kursaal Oostende 
52,Riverdance,10/7/17,50.8465573,4.351697,Brussels,Palais 12 
53,Riverdance,10/8/17,49.234362,6.996379,Saarbrucken,Saarlandhalle Saarbrucken 
54,Riverdance,10/22/17,47.2233007,-1.6346964,Saint Herblain,Zenith Nantes Metropole 
55,Riverdance,10/25/17,49.1828008,-0.3690815,Caen,Zenith De Caen
56,Riverdance,10/26/17,50.6296509,3.0749235,Lille Grand Palais,Zenith Arena Lille 
57,Riverdance,10/28/17,48.8566101,2.3514992,Paris,Salle Pleyel 
58,Riverdance,11/2/17,52.5170365,13.3888599,Berline,Mercedes-Benz Arena 
59,Riverdance,11/3/17,53.550341,10.000654,Hamburg,Mehr! Theater am Brombmarkt
60,Riverdance,11/4/17,53.0758196,8.8071646,Bremen,Metropol Theater Bremen 
61,Riverdance,11/5/17,51.51399325,6.849322761,Oberhausen,Konig-Pilsener-Arena 
