Dance Company,Date,Latitude,Longitude ,City,Venue ,
Riverdance,3/24/17,35.1490215,-90.0516285,Memphis,The Orpheum Theater Memphis ,
Riverdance,3/28/17,39.7589478,-84.1916069,Dayton,Mead Theater ,
Riverdance,3/29/17,41.6786754,-83.5127283,Toledo,Stranahan Theatre ,
Riverdance,4/1/17,41.7571701,-88.3147539,Aurora,Paramount Theatre,
Riverdance,4/4/17,40.6938609,-89.5891008,Peoria,Peoria Civic Center ,
Riverdance,4/5/17,41.6833813,-86.2500066,South Bend,Morris Performing Arts Center,
Riverdance,4/7/17,43.0171773,-83.7236024,Flint,The Whiting Auditorium ,
Riverdance,4/10/17,38.2542376,-85.759407,Louisville,Whitney Hall ,
Riverdance,4/14/17,34.7464809,-92.2895948,Little Rock,Robinson Performance Hall ,
Riverdance,4/18/17,35.0456297,-85.3096801,Chattanooga,Tivoli Theatre,
Riverdance,4/21/17,36.1622296,-86.7743531,Nashville,TN Performing Arts Center Andrew Jackson Hall ,
Riverdance,4/25/17,38.029306,-78.4766781,Charlottesville,John Paul Jones Arena ,
Riverdance,4/26/17,36.7953025,-76.05092512,Virginia Beach,Sandler Center for the Performing Arts ,
Riverdance,4/28/17,40.2854881,-76.6506001,Hershey,Hershey Theatre ,
Riverdance,5/2/17,35.9603948,-83.9210261,Knoxville,Tennessee Theatre,
Riverdance,5/5/17,33.7490987,-84.3901849,Atlanta,Fabulous Fox Theatre,
Riverdance,5/9/17,39.7683331,-86.1583502,Indianapolis,Clowes Memorial Hall ,
Riverdance,5/12/17,39.9622601,-83.0007065,Columbus,Palace Theatre Columbus ,
Riverdance,5/21/17,44.230687,-76.481323,Kingston,Rogers K-Rock Centre ,
Riverdance,5/26/17,44.6486237,-63.5859487,Halifax,Scotiabank Centre,
Riverdance,5/30/17,44.8011821,-68.7778138,Bangor,Cross Insurance Center ,
Riverdance,5/31/17,43.6610277,-70.2548596,Portland,Merill Auditorium ,
Riverdance,6/2/17,41.8239891,-71.4128343,Providence,Providence Performing Arts ,
Riverdance,6/7/17,42.9956397,-71.4547891,Manchester,SNHU Arena ,
Riverdance,6/8/17,42.2625932,-71.8022934,Worcester,Hanover Theatre ,
Riverdance,6/13/17,38.3662114,-75.6008881,Salisbury,Wicomico Civic Center ,
Riverdance,6/14/17,40.7970384,-74.4809492,Morristown,Mayo Performing Arts Center ,
Riverdance,6/16/17,42.8142432,-73.9395687,Schenectady,Proctor's Theatre ,
Riverdance,9/1/17,59.9132694,10.7391112,Oslo,Oslo Konserthus ,
Riverdance,9/7/17,57.7072326,11.9670171,Goteborg,Lisebergshallen ,
Riverdance,9/15/17,55.6867243,12.5700724,Copenhagen,Royal Arena ,
Riverdance,9/18/17,59.3251172,18.0710935,Stockholm,Cirkus ,
Riverdance,9/22/17,60.1674086,24.9425683,Helsinki,Hartwall Arena ,
Riverdance,9/26/17,60.4517531,22.2670522,Turku,Logomo,
Riverdance,10/6/17,51.19996685,2.872275582,Ostend,Kursaal Oostende ,
Riverdance,10/7/17,50.8465573,4.351697,Brussels,Palais 12 ,
Riverdance,10/8/17,49.234362,6.996379,Saarbrucken,Saarlandhalle Saarbrucken ,
Riverdance,10/22/17,47.2233007,-1.6346964,Saint Herblain,Zenith Nantes Metropole ,
Riverdance,10/25/17,49.1828008,-0.3690815,Caen,Zenith De Caen,
Riverdance,10/26/17,50.6296509,3.0749235,Lille Grand Palais,Zenith Arena Lille ,
Riverdance,10/28/17,48.8566101,2.3514992,Paris,Salle Pleyel ,
Riverdance,11/2/17,52.5170365,13.3888599,Berline,Mercedes-Benz Arena ,
Riverdance,11/3/17,53.550341,10.000654,Hamburg,Mehr! Theater am Brombmarkt,
Riverdance,11/4/17,53.0758196,8.8071646,Bremen,Metropol Theater Bremen ,
Riverdance,11/5/17,51.51399325,6.849322761,Oberhausen,Konig-Pilsener-Arena ,
Riverdance,1/5/18,26.1223084,-80.1433786,Ft Lauderdale,Au-Rene Theater at the Borward Center ,
Riverdance,1/9/18,32.7876012,-79.9402728,Chrleston,Gailard Center ,
Riverdance,1/12/18,30.374673,-88.84594333,Biloxi,Beau Rivage Theatre ,
Riverdance,1/16/18,33.5206824,-86.8024326,Birmingham,BJCC Concert Hall ,
Riverdance,1/17/18,33.9550905,-83.3881868,Athens,Classic Center Theatre ,
Riverdance,1/19/18,27.9477595,-82.458444,Tampa,David A. Straz Center ,
Riverdance,1/23/18,30.3321838,-81.655651,Jacksonville,Thalia Mara Hall ,
Riverdance,1/24/18,32.3669656,-86.3006485,Montgomery,Montgomery Performing Arts Centre ,
Riverdance,1/26/18,28.5421097,-81.3790388,Orlando,Dr. Phillips Center ,
Riverdance,1/31/18,37.274532,-79.96020968,Roanoke,Berglund Center ,
Riverdance,2/1/18,41.2493292,-77.0027671,Williamsport,Community Arts Center ,
Riverdance,2/2/18,38.8949549,-77.0366456,Washington,Warner Theatre ,
Riverdance,2/8/18,40.03813,-76.3056686,Lancaster,American Music Theatre ,
Riverdance,2/10/18,41.466023,-71.96290892,Mashantucket,The Grand Theater at Foxwoods Resort Casino ,
Riverdance,3/13/18,41.5051613,-81.6934446,Cleveland,State Theatre-Playhouse Square Center ,
Riverdance,2/20/18,44.5126379,-88.0125794,Green Bay,Weidner Center for the Performing Arts ,
Riverdance,2/22/18,42.1167065,-86.4541894,Benton Harbor,Mendel Center ,
Riverdance,2/23/18,41.9941334,-87.8756737,Rosemont,Rosemont Theatre ,
Riverdance,2/25/18,42.2713945,-89.093966,Rockford,Coronado Performing Arts Center ,
Riverdance,3/2/18,42.5274123,-92.4453179,Cedar Falls,Gallagher Bluedorn Performing Arts Center ,
Riverdance,3/4/18,42.4966815,-96.4058782,Sioux City,Orpheum Theatre Sioux City ,
Riverdance,3/8/18,30.2240897,-92.0198427,Lafayette,Heymann Performing Arts Center ,
Riverdance,3/9/18,29.7589382,-95.3676974,Houston,Hobby Center ,
Riverdance,3/14/18,41.2587317,-95.9378732,Omaha,Holland Performing Arts Center ,
Riverdance,3/17/18,39.100105,-94.5781416,Kansas City,Muriel Kauffman Theatre-Kauffman PAC ,
Riverdance,3/20/18,32.7762719,-96.7968559,Dallas,Winspear Opera House ,
Riverdance,3/27/18,38.8339578,-104.8253485,Colorado Springs,Pikes Peak Center ,
Riverdance,4/12/18,50.6758269,-120.3394159,Kamloops,Sandman Centre ,
Riverdance,4/13/18,49.2608724,-123.1139529,Vancouver,Queen Elizabeth Theatre ,
Riverdance,6/12/18,53.3497645,-6.2602732,Dublin,The Gaiety Theatre ,
Riverdance,9/12/18,52.14540645,-9.517469023,Co. Kerry,INEC - Gleneagle Hotel ,
Riverdance,2/8/19,51.51399325,6.849322761,Oberhausen,Konig-Pilsener-Arena ,
Riverdance,6/4/19,51.5073219,-0.1276474,London,Eventim Apollo,
Riverdance,6/11/19,53.3497645,-6.2602732,Dublin,The Gaiety Theatre ,
Riverdance,9/18/19,52.14540645,-9.517469023,Co. Kerry,INEC - Gleneagle Hotel ,
Riverdance,10/4/19,41.139981,-104.820246,Cheyenne,Cheyenne Civic Center ,
Riverdance,1/10/20,41.139981,-104.820246,Cheyenne,Cheyenne Civic Center ,
Riverdance,1/10/20,45.4972159,-73.6103642,Montreal,"Salle Wilfrid-Pelletier, P lace des Arts ",
Riverdance,1/31/20,44.9772995,-93.2654692,Minneapolis,State Theatre,
Riverdance,2/4/20,41.8755546,-87.6244212,Chicago,Cadillac Palace Theatre ,
Riverdance,2/12/20,39.7683331,-86.1583502,Indianapolis,Clowes Memorial Hall ,
Riverdance,2/19/20,54.5969869,-5.9300992,Belfast,SSE Arena ,
Riverdance,2/20/20,43.4200387,-83.9490365,Saginaw,Dow Event Center ,
Riverdance,2/21/20,42.3486635,-83.0567375,Detroit,Fox Theatre Detroit ,
Riverdance,3/7/20,42.096968,-75.914341,Binghamton,Broome County Forum Theatre ,
Riverdance,3/10/20,42.68400365,-73.84798682,New York,Radio City Music Hall ,
Riverdance,3/16/20,52.9534161,-1.1492773,Nottingham,Royal Concert Hall Notts ,
Riverdance,3/19/20,41.4570418,-72.8231552,Wallingford,Toyota Oakdale Theatre ,
Riverdance,3/24/20,43.0481221,-76.1474244,Syracuse,The Oncenter Civic Center Theaters ,
Riverdance,3/27/20,42.8867166,-78.8783922,Buffalo,Shea's Buffalo Theatre ,
Riverdance,5/5/20,55.856656,-4.2435817,Glasgow,Kings Theatre Glasgow,
Riverdance,6/1/20,51.4816546,-3.1791934,Cardiff,St. David's Hall ,
Riverdance,6/5/20,51.5073219,-0.1276474,London,Eventim Apollo Hammersmith ,
Riverdance,6/11/20,53.3497645,-6.2602732,Dublin,The Gaiety Theatre ,
