Order ,Dance Company,Date,Latitude,Longitude,City,Venue 
1,Riverdance,3/7/15,51.0493286,13.7381437,Dresden,"Messe Dresden, Halle 1 "
2,Riverdance,3/8/15,49.9999952,8.2710237,Mainz,Frankfurter Hof
3,Riverdance,3/10/15,53.0758196,8.8071646,Bremen,Musical Theater
4,Riverdance,3/13/15,54.3216753,10.1371858,Kiel,Sparkassen-Arena Kiel
5,Riverdance,3/14/15,53.550341,10.000654,Hamburg,Congress Centrum Hamburg Saal 1
6,Riverdance,3/16/15,49.8926723,10.8876149,Bamberg,Congress Centrum Hamburg Saal 1
7,Riverdance,3/17/15,47.7811014,9.612468,Ravensburg,Oberschwabenhalle
8,Riverdance,3/18/15,48.7784485,9.1800132,Stuttgart,Porsche-Arena 
9,Riverdance,3/19/15,49.0195333,12.0974869,Regensburg,Donau-Arena
10,Riverdance,3/20/15,48.3954965,10.00589,Neu-Ulm,ratiopharm arena 
11,Riverdance,3/21/15,47.5025779,9.7472924,Bregenz,Bregenzer Festspiel
12,Riverdance,3/24/15,51.5142273,7.4652789,Dortmund,Westfalenhalle 1 
13,Riverdance,3/25/15,52.010877,8.540868,Bielefeld,Stadthalle Bielefeld 
14,Riverdance,3/26/15,51.457087,7.011429,Essen,Grugahalle Essen 
15,Riverdance,3/27/15,51.2254018,6.7763137,Dusseldorf,Mitsubishi Electric Halle 
16,Riverdance,3/29/15,50.5521486,9.676511,Fulda,Esperantohalle 
17,Riverdance,6/13/15,51.8979282,-8.4705806,Cork,Live at the Marquee
18,Riverdance,7/7/15,53.3497645,-6.2602732,Dublin,Gaiety Theatre
19,Riverdance,9/28/15,49.884017,-97.168579,Winnipeg,Mantoba Burton Theatre
20,Riverdance,10/30/15,47.6038321,-122.3300624,Seattle,Washington Paramount Theatre
21,Riverdance,11/16/15,36.7394421,-119.7848307,Fresno,California Saroyan Theatre 
22,Riverdance,11/20/15,45.5202471,-122.6741949,Portland,Oregon Keller Auditorium 
23,Riverdance,11/24/15,37.3297085,-121.9031599,San Jose,California San Jose Center for the Performing Arts 
