Dance Company,Date,Latitude,Longitude ,City,Venue ,Production 
Sankai Juku ,03/28/15,33.8829996,130.8749015,Kitakyushu,Kitakyushu Performing Arts Center,Meguri
Sankai Juku ,05/20/15,38.76666295,139.9051096,Tokyo,Setagaya Public Theartre,Meguri & Umusuna 
Sankai Juku ,06/07/15,35.0865692,135.9033813,Otsu,Biwako Hall Center for the Performing Arts,Umusuna 
Sankai Juku ,06/13/15,36.2382047,137.9687141,Matsumoto,Matsumoto Performing Arts Centre,Tobari 
Sankai Juku ,10/01/15,47.6038321,-122.3300624,Seattle,Meany Hall ,Umusuna 
Sankai Juku ,10/08/15,37.7792808,-122.4192363,San Francicso,Yerba Buena Center ,Umusuna 
Sankai Juku ,10/13/15,38.545379,-121.7445835,Davis,Jackson Hall ,Umusuna 
Sankai Juku ,10/16/15,34.054935,-118.244476,Los Angeles,Royce Hall ,Umusuna 
Sankai Juku ,10/23/15,42.2681569,-83.7312291,Ann Arbor,Power Center ,Umusuna 
Sankai Juku ,10/28/15,40.7306458,-73.9866136,New York,Haward Gilman Opera House ,Umusuna 
Sankai Juku ,11/03/15,45.421106,-75.690308,Ottawa,"National Arts Center, Southam Hall ",Umusuna 
Sankai Juku ,11/06/15,35.9131542,-79.05578,Chapel Hill,Memorial Hall ,Umusuna 
Sankai Juku ,11/09/15,37.2296566,-80.4136767,"Blacksburg, Virginia",Moss Arts Center ,Umusuna 
Sankai Juku ,02/07/16,33.8829996,130.8749015,Kitakyushu ,Kitakyushu Performing Arts Center,Kinkan Shonen 
Sankai Juku ,05/20/16,1.2904753,103.8520359,N/A,Esplanade-Theatres on the Bay ,Meguri & Umusuna 
Sankai Juku ,06/14/16,44.4161414,12.2017617,Ravenna ,Pala De Andre,Utsushi
Sankai Juku ,06/18/16,62.8241424,27.59456148,Kuopio,Kuopio Dance Festival ,Utsushi 
Sankai Juku ,06/23/16,48.8566101,2.3514992,Paris,Theatre de la Ville de Paris ,Meguri
Sankai Juku ,07/16/16,-22.2752762,-42.419415,Rio de Janeiro,Cidade das Artes ,Meguri
Sankai Juku ,07/23/16,-29.2756325,-51.7366176,Sao Paulo ,Teatro Alfa ,Meguri
Sankai Juku ,08/29/16,48.2083537,16.3725042,Vienna ,Impalstanz Festival ,Meguri 
