Order ,Dance Company,Date,Latitude,Longitude ,City,Venue ,Production 
1,Sankai Juku ,03/25/18,33.8829996,130.8749015,Kitakyushu ,Kitakyushu Performing Arts Center,Unetsu 
2,Sankai Juku ,06/01/18,34.6968642,139.4049033,Tokyo ,Setagaya Public Theartre,Unetsu 
3,Sankai Juku ,06/05/18,34.6968642,139.4049033,Tokyo,Setagaya Public Theartre,Kinkan & Shonen 
4,Sankai Juku ,09/01/18,49.479236,8.439117,Ludwigshafen,Theater im pfalzbau,Utsuchi
5,Sankai Juku ,09/04/18,45.886548,11.0452369,Rovereto ,Incontri Internazionali Di Rovereto Association ,Meguri 
6,Sankai Juku ,10/03/18,31.2253441,121.4888922,Shanghai,Daning Theatre,Tobari 
7,Sankai Juku ,10/09/18,39.9059631,116.391248,Pekin ,The Central National Song and Dance Troup National Theatre ,Tobari 
