Order ,Dance Company,Date,Latitude,Longitude,City,Venue,Production 
1,Dorrance Dance ,1/15/19,43.207178,-71.537476,Concord,Capital Center,"Jungle Blues, Three to One, Myelination "
2,Dorrance Dance ,1/18/19,42.3602534,-71.0582912,Boston,"World Music Crash Arts, Emerson/Cutler Majestic Theatre","Jungle Blues, Three to One, Myelination "
3,Dorrance Dance ,1/23/19,38.2542376,-85.759407,Louisville,"The Kentucky Center, Brown Theatre",Double Down 
4,Dorrance Dance ,1/26/19,35.0867577,-89.8100858,Germantown,GPAC,Double Down 
5,Dorrance Dance ,1/30/19,30.2711286,-97.7436995,Austin,Texas Performing Arts,Double Down 
6,Dorrance Dance ,2/1/19,32.7762719,-96.7968559,Dallas,AT&T Performing Arts Center,Double Down 
7,Dorrance Dance ,2/9/19,29.7589382,-95.3676974,Houston,"SPA Huston, Jones Hall",Double Down 
8,Dorrance Dance ,2/12/19,36.0625843,-94.1574328,Fayetteville,"Walton Arts Center, Baum Walker Hall",Double Down 
9,Dorrance Dance ,3/14/19,40.1117174,-88.207301,Urbana,"Krannert Center, Tryon Festival Theatre","Jungle Blues, Three to One, Myelination "
10,Dorrance Dance ,3/28/19,42.68400365,-73.84798682,New York,New York City Center ,Mixed Repertoire
11,Dorrance Dance ,4/4/19,39.7391536,-104.9847034,Denver,"Newman Center, June Swaner Gates Concert Hall",Double Down 
12,Dorrance Dance ,4/6/19,40.0149856,-105.2705456,Boulder,Macky Auditorium,Double Down 
13,Dorrance Dance ,4/9/19,43.696215,-114.353097,Sun Valley,The Argyros,SOUNDspace
14,Dorrance Dance ,5/3/19,33.6633386,-117.903317,Costa Mesa,Segerstorm Center for the Arts,Double Down 
15,Dorrance Dance ,5/5/19,34.9528779,-120.453263,SAnta Barbara,"UC Santa Barbara, Granada Theatre",Double Down 
16,Dorrance Dance ,5/9/19,37.7792808,-122.4192363,San Francisco,Yerba Buena Center For The Arts,Double Down 
17,Dorrance Dance ,5/15/19,32.8335005,-117.2616203,La Jolla,"Art Power, UC San Diego",Double Down 
18,Dorrance Dance ,6/11/19,41.3082138,-72.9250518,New Haven,International Festival of Arts & Ideas,"Jungle Blues, Three to One, Myelination "
19,Dorrance Dance ,6/21/19,35.996653,-78.9018053,Durham,"American Dance Festival, Reynolds Industries Theater",SOUNDspace
20,Dorrance Dance ,7/6/19,44.6447234,-85.7673003,Interlochen,"Interlochen Arts Festival, Corson Auditorium ","Jungle Blues, Three to One, Myelination "
21,Dorrance Dance ,7/20/19,40.6656078,-73.0689516,Fire Island Pines,Fire Island Dance Festival,Destination Moon 
22,Dorrance Dance ,7/25/19,45.894309,-74.158058,Saint-Sauveur,"Festival Des Arts De Saint-Sauveur, Big Top",SOUNDspace
23,Dorrance Dance ,9/18/19,55.7507178,37.6176606,Moscow,"Danceinversion International Festival, Russian Academic Youth Theatre","Jungle Blues, Three to One, Myelination "
24,Dorrance Dance ,10/19/19,44.9772995,-93.2654692,Minneapolis,"Northrop and Twin Cities Tap Festival, Carlson Family Stage","Jungle Blues, Three to One, Myelination "
25,Dorrance Dance ,10/22/19,41.5910641,-93.6037149,Des Moines,Des Moines Civic Center,"Jungle Blues, Three to One, Myelination "
26,Dorrance Dance ,11/10/19,41.0409305,-73.7145746,Purchase,"Purchase College, Pepsico Theatre","Jungle Blues, Three to One, Myelination "
27,Dorrance Dance ,11/14/19,51.5073219,-0.1276474,London,Sadler's Wells,"Jungle Blues, Three to One, Myelination "
28,Dorrance Dance ,12/17/19,42.68400365,-73.84798682,New York,The Joyce Theater ,Mixed Repertoire
