Order ,Dance Company,Date,Latitude,Longitude,City,Venue,Production 
1,Dorrance Dance ,1/31/20,32.5461135,-85.41880302,Auburn,"Auburn University, Woltosz Theatre",Double Down 
2,Dorrance Dance ,2/5/20,25.7742658,-80.1936589,Miami,"Adrienne Arsht Center for the Performing Arts, Ziff Ballet Opera House",Double Down 
3,Dorrance Dance ,2/7/20,26.6159698,-80.0569927,Lake Worth,"Palm Beach State College, Duncan Theatre",Double Down 
4,Dorrance Dance ,2/21/20,42.2681569,-83.7312291,Ann Arbor,University of Michigan,"Jungle Blues, Three to One, Myelination "
5,Dorrance Dance ,2/29/20,45.421106,-75.690308,Ottawa,"National Arts Centre, Southam Hall","Jungle Blues, Three to One, Myelination "
6,Dorrance Dance ,3/4/20,34.14391585,-118.7611438,Los Angeles,USC Bovard Auditorium,SOUNDspace
7,Dorrance Dance ,3/7/20,38.3396367,-122.7010984,Rohnert Park,"Sonoma State University, Weill Hall",SOUNDspace
8,Dorrance Dance ,3/10/20,37.4248398,-122.1677058,Stanford,"Stanford University, Bing Concert Hall ",SOUNDspace (cancelled)
9,Dorrance Dance ,3/13/20,37.8708393,-122.2728639,Berkeley,"UC Berkely, Zellerbach Playhouse ",SOUNDspace (cancelled)
10,Dorrance Dance ,3/17/20,35.2827525,-120.6596156,San Luis Obispo,"Cal Poly, Performing Arts Center",SOUNDspace (cancelled)
11,Dorrance Dance ,3/19/20,32.8335005,-117.2616203,La Jolla,The Baker-Baum Concert Hall,SOUNDspace (cancelled)
12,Dorrance Dance ,3/24/20,34.14391585,-118.7611438,Los Angeles,"The Blue Ribbon's Children Festival, The Music Center's Dorothy Chandler Pavilion",SOUNDspace/Double Down (cancelled)
13,Dorrance Dance ,4/1/20,34.2700153,-114.0824451,Mesa,"Mesa Arts Center, Ikeda Theater",SOUNDspace (cancelled)
14,Dorrance Dance ,4/9/20,40.3492744,-74.6592958,Princeton,"Princeton University, Matthews Theatre",SOUNDspace (cancelled)
15,Dorrance Dance ,5/8/20,47.6038321,-122.3300624,Seattle,The Moore Theatre,Double Down (cancelled)
16,Dorrance Dance ,5/10/20,44.0505054,-123.0950506,Eugene,"Hult Center for the Performing Arts, Silva Concert Hall",SOUNDspace (cancelled)
17,Dorrance Dance ,5/15/20,49.2608724,-123.1139529,Vancouver,"Vancouver Playhouse, Dance House",Double down (cancelled)
18,Dorrance Dance ,7/1/20,42.3320317,-73.0828803,Becket,"Jacob's Pillow Festival, Ted Shawn Theatre",Mixed Repertoire (cancelled)
19,Dorrance Dance ,8/2/20,39.6426439,-106.3862088,Vail,Vail International Dance Festival,SOUNDspace (cancelled)
