Order ,Dance Company,Date,Latitude,Longitude,City,Venue,Production 
1,Dorrance Dance ,1/13/17,42.3602534,-71.0582912,Boston,World Music/CRASHarts at the ICA,Dorrance Dance in Concert
2,Dorrance Dance ,2/3/17,51.5073219,-0.1276474,London,Sadler's Wells,Double Down 
3,Dorrance Dance ,2/16/17,42.68400365,-73.84798682,New York,Guggenheim Museum,Works & Process Rotunda Project
4,Dorrance Dance ,2/24/17,22.2774379,114.173029,Wan Chai,Hong Kong Arts Festival,Double Down 
5,Dorrance Dance ,3/3/17,42.712207,-73.2035986,Williamstown,Williams College,The Blues Project 
6,Dorrance Dance ,3/8/17,34.9528779,-120.453263,Santa Barbara,The Granada Theatre at UCSB,Double Down 
7,Dorrance Dance ,3/16/17,37.7792808,-122.4192363,San Francisco,YBCA Theatre,The Blues Project 
8,Dorrance Dance ,3/31/17,42.8867166,-78.8783922,Buffalo,University of Buffalo Center for the Arts,Dorrance Dance in Concert
9,Dorrance Dance ,4/7/17,43.703622,-72.288666,Hanover,Dartmouth College Hopkins Center for the Arts,The Blues Project 
10,Dorrance Dance ,7/12/17,51.5073219,-0.1276474,London,Sadler's Wells,Double Down 
11,Dorrance Dance ,7/18/17,48.7784485,9.1800132,Stuttgart,Theaterhaus Stuttgart,Double Down 
12,Dorrance Dance ,8/10/17,39.6426439,-106.3862088,Vail,Vail International Dance Festival,Double Down 
13,Dorrance Dance ,10/2/17,42.68400365,-73.84798682,New York,New York City Center ,Myelination
14,Dorrance Dance ,10/12/17,34.0736204,-118.4003563,Beverly Hills,Wallis Annenburg Center for the Performing Arts,Myelination
15,Dorrance Dance ,10/27/17,37.8708393,-122.2728639,Berkeley,UC Berkely,Myelination
16,Dorrance Dance ,10/29/17,38.545379,-121.7445835,Davis,UC Davis Jackson Hall Mondavi Center,Myelination
17,Dorrance Dance ,11/15/17,41.8084314,-72.2495231,Storrs,"Jorgensen Center for the Performing Arts, UCONN",Double Down 
18,Dorrance Dance ,12/19/17,42.68400365,-73.84798682,New York,The Joyce Theater ,Myelination
