Order ,Dance Company,Date,Latitude,Longitude,City,Venue,Production 
1,Dorrance Dance ,1/19/18,26.6159698,-80.0569927,Lake Worth,Palm Beach State College,"Jungle Blues, Three to One, Myelination "
2,Dorrance Dance ,1/28/18,35.612661,-77.3663538,Greenville,Write Auditorium ECU,"Jungle Blues, Three to One, Myelination "
3,Dorrance Dance ,2/2/18,37.5385087,-77.43428,Richmond,"Modlin Center for the Arts, Alice Jepson Theatre","Jungle Blues, Three to One, Myelination "
4,Dorrance Dance ,2/23/18,37.2296566,-80.4136767,Blacksburg,"Moss Arts Center, Virginia Tech",Double Down 
5,Dorrance Dance ,2/27/18,40.7944504,-77.8616386,State College,Penn State Eisenhower Auditorium ,Double Down 
6,Dorrance Dance ,3/2/18,39.0461292,-77.1130097,North Bethesda,Strathmore-The Music Center ,Double Down 
7,Dorrance Dance ,3/7/18,45.7578137,4.8320114,Lyon,Maison de la Danse,Double Down 
8,Dorrance Dance ,3/13/18,45.7774551,3.0819427,Clermont-Ferrand,La Comedie de Clermont-Ferrand Scene Nationale,Double Down 
9,Dorrance Dance ,3/16/18,50.938361,6.959974,Cologne,"Staatenhaus Staal 2, Oper Koln",SOUNDspace
10,Dorrance Dance ,4/7/18,47.6038321,-122.3300624,Seattle,The Moore Theatre,"Jungle Blues, Three to One, Myelination "
11,Dorrance Dance ,4/13/18,49.2608724,-123.1139529,Vancouver,"Vancouver Playhouse, Dance House","Jungle Blues, Three to One, Myelination "
12,Dorrance Dance ,5/8/18,1.3501306,103.6338392,Singapore,"Singapore International Festival of Arts, Victoria Theatre",The Blues Project 
13,Dorrance Dance ,6/1/18,32.7876012,-79.9402728,Charleston,"Spoleto Festival, Memminger Auditorium","Jungle Blues, Three to One, Myelination "
14,Dorrance Dance ,6/28/18,40.6501038,-73.9495823,"Brooklyn, Ny, USA","BRIC Celebrate Brooklyn! Festival, Prospect Park Bandshell ",The Blues Project 
15,Dorrance Dance ,7/18/18,42.3320317,-73.0828803,Becket,"Jacob's Pillow Festival, Ted Shawn Theatre",Myelination
16,Dorrance Dance ,8/10/18,39.6426439,-106.3862088,Vail,Vail International Dance Festival,The Blues Project 
17,Dorrance Dance ,10/24/18,41.2587317,-95.9378732,Omaha,"Omaha Performing Arts, Orpheum Theater",Double Down 
18,Dorrance Dance ,10/31/18,42.68400365,-73.84798682,New York,Guggenheim Museum,Works & Process Rotunda Project
19,Dorrance Dance ,11/9/18,40.8106558,-73.6284614,Greenvale,Tilles Center,"Jungle Blues, Three to One, Myelination "
20,Dorrance Dance ,11/12/18,35.9131542,-79.05578,Chapel Hill,"Caroline Performing Arts, Memorial Hall","Jungle Blues, Three to One, Myelination "
21,Dorrance Dance ,11/15/18,35.6009498,-82.5540161,Asheville,Diana Wortham Theatre,"Jungle Blues, Three to One, Myelination "
22,Dorrance Dance ,11/18/18,35.612661,-77.3663538,Greenville,The Peace Center,"Jungle Blues, Three to One, Myelination "
23,Dorrance Dance ,12/5/18,40.6501038,-73.9495823,Brooklyn,BAM Fisher,Elemental 
