Order ,Dance Company,Date,Latitude,Longitude,City,Venue,Production 
1,Dorrance Dance ,1/10/15,42.68400365,-73.84798682,New York,Dany Studios and Pace University,The Initial Approach
2,Dorrance Dance ,3/6/15,39.0840054,-77.1527573,Rockville,American Dance Institute ,The Blues Project 
3,Dorrance Dance ,3/13/15,42.3602534,-71.0582912,Boston,World Music/CRASHarts at the ICA,The Blues Project 
4,Dorrance Dance ,4/4/15,42.68400365,-73.84798682,New York,The Joyce Theater ,The Blues Project 
5,Dorrance Dance ,4/22/15,42.68400365,-73.84798682,New York,14th Street Y,Rhythm in Motion
6,Dorrance Dance ,4/29/15,45.5202471,-122.6741949,Portland,"White Bird, Schnitzer Concert Hall",The Blues Project 
7,Dorrance Dance ,5/2/15,34.9528779,-120.453263,Santa Barbara,The Granada Theatre at UCSB,The Blues Project 
8,Dorrance Dance ,6/30/15,42.68400365,-73.84798682,New York,Union Square Theatre,The Initial Approach
9,Dorrance Dance ,7/1/15,42.3320317,-73.0828803,Becket,Jacob's Pillow Festival ,The Blues Project 
10,Dorrance Dance ,7/24/15,42.68400365,-73.84798682,New York,Lincoln Center Out of Doors,The Blues Project 
11,Dorrance Dance ,8/20/15,41.3918832,-70.62085428,Martha's Vineyard,The Yard,The Initial Approach
12,Dorrance Dance ,9/12/15,41.6472761,1.1409115,Tarrega,Col.legi Sant Josep Vedruna,The Initial Approach
13,Dorrance Dance ,9/25/15,41.5623209,-72.6506488,Middletown,CFA Theater Wesleyan University,Dorrance Dance in Concert
14,Dorrance Dance ,9/30/15,43.653963,-79.387207,Toronto,Sony Centre,SOUNDspace
15,Dorrance Dance ,10/8/15,42.68400365,-73.84798682,New York,NY City Center,Myelination
16,Dorrance Dance ,10/22/15,37.5385087,-77.43428,Richmond,University of Richmond ,The Blues Project 
17,Dorrance Dance ,10/29/15,44.4723989,-73.2114941,Burlington,Flynn Center,The Initial Approach
18,Dorrance Dance ,11/4/15,43.4547284,-76.5095967,Oswego,SUNY Oswego,SOUNDspace
19,Dorrance Dance ,11/19/15,44.9772995,-93.2654692,Minneapolis,Carlson Family Stage UMN,The Blues Project 
20,Dorrance Dance ,12/2/15,39.9523993,-75.1635899,Philadelphia,Prince Theater,Dorrance Dance in Concert
21,Dorrance Dance ,12/15/15,42.68400365,-73.84798682,New York,Rainbow Room,Private Holiday Event
