Order,Dance Company,Date,Latitude,Longitude ,City,Venue,Production 
1,Kibbutz Contemporary Dance Company,2019,37.5666791,126.9782914,Seol,Arko Arts Theater | MODAFE International Contemporar Dance Festival ,A Good Citizen 
2,Kibbutz Contemporary Dance Company,2019,51.7687323,19.4569911,Lodz,Teatr Wielki w Lodzi (Grand Theatre Lodz),A Good Citizen 
3,Kibbutz Contemporary Dance Company,2019,52.2319237,21.0067265,Warsaw,Teatr Tanca Zawirowania | Zawirowania Dance Theater Festival ,A Good Citizen 
4,Kibbutz Contemporary Dance Company,2019,48.8566101,2.3514992,Paris,Theatre de Paris ,A Good Citizen 
5,Kibbutz Contemporary Dance Company,2019,45.0630557,7.7000997,Monferrat,Vignale Monferrato Festival ,A Good Citizen 
6,Kibbutz Contemporary Dance Company,2019,43.7698712,11.2555757,Forence,Florence Dance Festival ,A Good Citizen 
7,Kibbutz Contemporary Dance Company,2019,34.79489125,32.98558938,Limassol,The Great Festival | Pattihio Municipal Theater ,A Good Citizen 
8,Kibbutz Contemporary Dance Company,2019,39.9059631,116.391248,Beijing,Beijing Dance Festival ,A Good Citizen 
9,Kibbutz Contemporary Dance Company,2019,40.3754434,49.8326748,Baku,M.A.P. Festival ,A Good Citizen 
