Order,Dance Company,Date,Latitude,Longitude ,City,Venue ,Production 
1,Kibbutz Contemporary Dance Company,2016,-33.8548157,151.2164539,Sydney,Sydney Opera House,Horses In The Sky 
2,Kibbutz Contemporary Dance Company,2016,44.6978446,10.6304958,Reggio Emilia,Teatri Reggio Emilia | Festival Aperto,Horses In The Sky 
3,Kibbutz Contemporary Dance Company,2016,41.3828939,2.1774322,Barcelona,Festival Grec de Barcelona | Teatre Grec,Horses In The Sky 
4,Kibbutz Contemporary Dance Company,2016,50.0619474,19.9368564,Krakow ,Jewish Culture Festival | ICE Krakow Theatre Hall ,Horses In The Sky 
5,Kibbutz Contemporary Dance Company,2016,38.7077507,-9.1365919,Lisbon,Festival de Almada | Teatro Municipal Joazuim Benite,Horses In The Sky 
6,Kibbutz Contemporary Dance Company,2016,47.4991723,8.7291498,Winterthur,Theater Winterhur,Horses In The Sky 
7,Kibbutz Contemporary Dance Company,2016,50.8772301,12.0796208,Gera,Buhnen der Stadt Gera,Horses In The Sky 
8,Kibbutz Contemporary Dance Company,2016,51.3090209,9.4762981,Kassel,Staatstheater Kassel,Horses In The Sky 
9,Kibbutz Contemporary Dance Company,2016,50.0499945,10.233302,Schweinfurt,Theater der Stadt Schweinfurt,Horses In The Sky 
